epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.626,1.0959,1.80506,1.41658,0.70906,0.42976,0.48586,0.38373,0.95908,1.20116,1.31935,0.00332753,0.00332753,0.00332753
2,584.335,1.02746,1.25393,1.3213,0.66058,0.44623,0.49865,0.37717,1.01222,1.23301,1.34174,0.00659492,0.00659492,0.00659492
3,865.601,1.12243,1.37453,1.37458,0.65327,0.42601,0.46647,0.346,1.09645,1.34104,1.39651,0.00979631,0.00979631,0.00979631
4,1145.47,1.19755,1.47973,1.42869,0.67224,0.41305,0.4698,0.34595,1.11756,1.36362,1.4205,0.009703,0.009703,0.009703
5,1424.01,1.16066,1.38647,1.41207,0.69083,0.4338,0.5022,0.37218,1.05484,1.2458,1.38627,0.009604,0.009604,0.009604
6,1705.2,1.12667,1.31937,1.38783,0.675,0.44775,0.51549,0.38741,1.02247,1.26041,1.36622,0.009505,0.009505,0.009505
7,1989.17,1.10162,1.25212,1.36638,0.71376,0.4801,0.55767,0.42123,1.00328,1.06156,1.33758,0.009406,0.009406,0.009406
8,2272.88,1.08705,1.21787,1.36586,0.70422,0.50167,0.57853,0.43804,0.97375,1.02707,1.3322,0.009307,0.009307,0.009307
9,2553.47,1.06565,1.16259,1.34692,0.70844,0.50609,0.58428,0.44186,0.97744,1.01566,1.32696,0.009208,0.009208,0.009208
10,2837.41,1.04677,1.13748,1.33926,0.75003,0.51547,0.60744,0.46101,0.95067,0.96371,1.30975,0.009109,0.009109,0.009109
11,3122.16,1.03315,1.09446,1.33116,0.74611,0.51459,0.61181,0.46387,0.94404,0.96041,1.3037,0.00901,0.00901,0.00901
12,3403.4,1.02633,1.08367,1.32285,0.73685,0.54437,0.6317,0.48157,0.92767,0.92007,1.28465,0.008911,0.008911,0.008911
13,3682.78,1.0105,1.05289,1.31731,0.73177,0.52838,0.62322,0.47621,0.92804,0.93658,1.30586,0.008812,0.008812,0.008812
14,3962.69,1.00229,1.04149,1.30858,0.74406,0.54777,0.64682,0.49481,0.90582,0.87001,1.27466,0.008713,0.008713,0.008713
15,4248.49,0.99148,1.01599,1.3013,0.73034,0.54038,0.64274,0.49426,0.90087,0.87618,1.27561,0.008614,0.008614,0.008614
16,4527.57,0.9839,0.99727,1.29499,0.74879,0.56255,0.65948,0.50715,0.89029,0.85785,1.26691,0.008515,0.008515,0.008515
17,4808.35,0.97281,0.98045,1.29024,0.72924,0.57109,0.6625,0.51182,0.8753,0.84,1.25333,0.008416,0.008416,0.008416
18,5087.25,0.96768,0.97289,1.28525,0.71376,0.575,0.66134,0.51322,0.86867,0.84086,1.2559,0.008317,0.008317,0.008317
19,5370.86,0.95665,0.94776,1.27703,0.7599,0.53311,0.6569,0.50847,0.87472,0.83174,1.26314,0.008218,0.008218,0.008218
20,5650.19,0.9537,0.9437,1.27244,0.72726,0.57557,0.66942,0.51883,0.86444,0.82464,1.24682,0.008119,0.008119,0.008119
21,5932.66,0.94779,0.92109,1.27208,0.72942,0.59784,0.68521,0.53044,0.85367,0.79082,1.23414,0.00802,0.00802,0.00802
