epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,751.112,1.296,2.30822,1.38624,0.55719,0.31273,0.30771,0.19377,1.26561,1.45773,1.40503,0.00333177,0.00333177,0.00333177
2,1459.07,1.23826,1.62743,1.3065,0.65846,0.29821,0.30715,0.1924,1.2903,1.4431,1.38033,0.00653313,0.00653313,0.00653313
3,2142.89,1.30868,1.76094,1.34928,0.71514,0.25833,0.28516,0.17382,1.38362,1.5748,1.45269,0.00960249,0.00960249,0.00960249
4,2811.77,1.33154,1.78032,1.36683,0.73148,0.28793,0.31669,0.19856,1.3095,1.42448,1.43728,0.009406,0.009406,0.009406
5,3482.06,1.2864,1.58854,1.33826,0.65081,0.33552,0.37027,0.23765,1.25951,1.20563,1.4032,0.009208,0.009208,0.009208
6,4171.69,1.2528,1.45411,1.32208,0.73463,0.35567,0.39426,0.25487,1.2323,1.09347,1.38242,0.00901,0.00901,0.00901
7,4866.13,1.22903,1.36155,1.30782,0.71947,0.38251,0.42295,0.2777,1.20593,1.00038,1.34964,0.008812,0.008812,0.008812
8,5542.8,1.20214,1.2801,1.29282,0.77157,0.3846,0.43502,0.28762,1.177,0.95171,1.3382,0.008614,0.008614,0.008614
9,6222.96,1.18929,1.22653,1.282,0.67726,0.40927,0.44643,0.30082,1.16128,0.89707,1.32971,0.008416,0.008416,0.008416
10,6905.12,1.17378,1.1822,1.27144,0.76253,0.40652,0.46226,0.31204,1.14066,0.85728,1.31825,0.008218,0.008218,0.008218
11,7576.37,1.15858,1.12926,1.2633,0.69401,0.42662,0.47311,0.3216,1.12354,0.82336,1.30626,0.00802,0.00802,0.00802
12,8246.64,1.14341,1.0979,1.2545,0.71291,0.43566,0.48061,0.32881,1.11287,0.79666,1.29812,0.007822,0.007822,0.007822
13,8923.77,1.13507,1.06652,1.24502,0.69729,0.44314,0.48864,0.33749,1.09265,0.76693,1.28348,0.007624,0.007624,0.007624
14,9597.9,1.1214,1.03511,1.23767,0.66945,0.45137,0.49526,0.34381,1.07806,0.74778,1.2718,0.007426,0.007426,0.007426
15,10262.8,1.10533,1.00445,1.23005,0.71889,0.45642,0.50206,0.35151,1.06389,0.72819,1.26407,0.007228,0.007228,0.007228
16,10935.8,1.09814,0.9792,1.22228,0.75078,0.45997,0.50406,0.35448,1.05211,0.71203,1.25197,0.00703,0.00703,0.00703
17,11609.6,1.08775,0.96066,1.22003,0.67748,0.46854,0.50986,0.35988,1.0398,0.69441,1.24648,0.006832,0.006832,0.006832
18,12285.3,1.07746,0.9346,1.20727,0.71353,0.47253,0.51365,0.36534,1.03084,0.68256,1.23273,0.006634,0.006634,0.006634
19,12963.4,1.06534,0.91506,1.19905,0.66778,0.47766,0.52,0.37103,1.017,0.66781,1.22441,0.006436,0.006436,0.006436
20,13633.3,1.05561,0.89207,1.19794,0.6904,0.48515,0.51951,0.37272,1.00666,0.65692,1.22252,0.006238,0.006238,0.006238
21,14305.3,1.04608,0.87704,1.19197,0.68278,0.482,0.5207,0.37563,0.99783,0.6485,1.21424,0.00604,0.00604,0.00604
22,14979.4,1.03881,0.85867,1.18197,0.67769,0.49079,0.52699,0.38049,0.99076,0.63772,1.20712,0.005842,0.005842,0.005842
23,15650.7,1.02759,0.84616,1.17623,0.67019,0.49077,0.52933,0.38408,0.98218,0.63138,1.19979,0.005644,0.005644,0.005644
24,16325.7,1.01863,0.82843,1.1758,0.691,0.48946,0.53171,0.38749,0.97433,0.62519,1.19602,0.005446,0.005446,0.005446
25,16995.2,1.00714,0.80939,1.16645,0.68026,0.49268,0.53327,0.38989,0.96681,0.61852,1.19054,0.005248,0.005248,0.005248
26,17665.1,1.0004,0.79876,1.15857,0.67438,0.49801,0.5349,0.39106,0.96031,0.61302,1.18524,0.00505,0.00505,0.00505
27,18339.7,0.99131,0.78739,1.1551,0.7087,0.49406,0.53747,0.3939,0.95447,0.60681,1.18212,0.004852,0.004852,0.004852
28,19016.1,0.9827,0.7757,1.15336,0.70851,0.49508,0.53808,0.39522,0.949,0.60217,1.17913,0.004654,0.004654,0.004654
29,19694.8,0.97521,0.75723,1.14278,0.70363,0.49592,0.53927,0.39707,0.94404,0.59751,1.1751,0.004456,0.004456,0.004456
30,20386.9,0.96844,0.75253,1.14312,0.65795,0.5078,0.5403,0.39892,0.93924,0.59376,1.17259,0.004258,0.004258,0.004258
31,21071.8,0.95099,0.73604,1.13562,0.6602,0.51134,0.54232,0.4009,0.93474,0.59027,1.17015,0.00406,0.00406,0.00406
32,21751.1,0.94475,0.72093,1.12758,0.66008,0.51152,0.54361,0.40254,0.93032,0.58687,1.16701,0.003862,0.003862,0.003862
33,22438.2,0.93873,0.71389,1.1217,0.66787,0.51316,0.54507,0.40376,0.92656,0.58368,1.16399,0.003664,0.003664,0.003664
34,23129.1,0.93163,0.70119,1.11899,0.67152,0.51469,0.54609,0.40545,0.92284,0.58025,1.16152,0.003466,0.003466,0.003466
35,23808.5,0.92075,0.68893,1.11657,0.64387,0.5197,0.54682,0.40649,0.91933,0.57754,1.15957,0.003268,0.003268,0.003268
36,24490.8,0.90778,0.67195,1.10785,0.64662,0.52242,0.548,0.40747,0.91619,0.57498,1.15734,0.00307,0.00307,0.00307
37,25180,0.90079,0.66494,1.10721,0.6521,0.52498,0.54904,0.40855,0.91312,0.57252,1.15542,0.002872,0.002872,0.002872
38,25870.6,0.89474,0.65426,1.09829,0.65076,0.52431,0.54972,0.40964,0.91006,0.56997,1.15316,0.002674,0.002674,0.002674
39,26565.5,0.88728,0.64494,1.09263,0.65337,0.52318,0.55041,0.41079,0.90688,0.56773,1.1508,0.002476,0.002476,0.002476
40,27250.1,0.87398,0.63038,1.08615,0.64605,0.53216,0.55193,0.41209,0.90384,0.56544,1.14848,0.002278,0.002278,0.002278
41,27998.3,0.8691,0.55734,1.08183,0.65292,0.53061,0.55281,0.41305,0.90084,0.56325,1.14635,0.00208,0.00208,0.00208
42,28674.3,0.85497,0.545,1.07346,0.65094,0.534,0.55371,0.41401,0.8976,0.5607,1.14402,0.001882,0.001882,0.001882
43,29353.7,0.84392,0.533,1.06509,0.65418,0.53292,0.55332,0.41518,0.89426,0.55853,1.14166,0.001684,0.001684,0.001684
44,30017.4,0.83187,0.51837,1.0616,0.65622,0.53335,0.55421,0.41618,0.89102,0.5562,1.13936,0.001486,0.001486,0.001486
45,30683.7,0.81976,0.50713,1.0513,0.65969,0.53327,0.55509,0.41732,0.88774,0.55397,1.13701,0.001288,0.001288,0.001288
46,31351.3,0.80899,0.49612,1.04894,0.66164,0.53374,0.55599,0.41844,0.88456,0.55199,1.13483,0.00109,0.00109,0.00109
47,32011.2,0.79795,0.4866,1.04067,0.66136,0.53566,0.55641,0.41957,0.88124,0.55009,1.13252,0.000892,0.000892,0.000892
48,32674.3,0.78557,0.47704,1.03364,0.66374,0.53868,0.55655,0.42032,0.87827,0.54828,1.13034,0.000694,0.000694,0.000694
49,33335.7,0.77444,0.46538,1.02857,0.66102,0.53981,0.55731,0.42102,0.87509,0.5466,1.12808,0.000496,0.000496,0.000496
50,33997.3,0.76591,0.45823,1.02299,0.6621,0.53994,0.55709,0.42173,0.87209,0.54513,1.12587,0.000298,0.000298,0.000298
